,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師,course_len,weather,race_type,ground_state,date,horse_id,jockey_id
201001010101,1,8,10,マーベラスカイザー,牡2,54.0,古川吉洋,1:50.7,,13.7,5.0,470(0),[西] 柴田政見,1800,晴,芝,良,2010年8月14日,2008100961,01015
201001010101,2,6,7,マイネルヴァルム,牡2,54.0,丹内祐次,1:50.9,1.1/2,7.6,4.0,438(+16),[東] 畠山重則,1800,晴,芝,良,2010年8月14日,2008104484,01091
201001010101,3,1,1,エスタンシア,牡2,54.0,秋山真一,1:51.0,3/4,16.3,6.0,482(-2),[西] 鶴留明雄,1800,晴,芝,良,2010年8月14日,2008101585,01019
201001010101,4,4,4,モエロック,牡2,54.0,藤岡佑介,1:51.2,1.1/4,53.1,9.0,470(0),[西] 領家政蔵,1800,晴,芝,良,2010年8月14日,2008104312,01093
201001010101,5,7,9,アドマイヤシケーダ,牝2,54.0,ホワイト,1:51.2,アタマ,2.0,1.0,412(-6),[西] 中尾秀正,1800,晴,芝,良,2010年8月14日,2008102020,05135
201001010101,6,5,5,ライジングサン,牡2,54.0,岩田康誠,1:51.5,1.3/4,71.5,11.0,494(0),[西] 小野幸治,1800,晴,芝,良,2010年8月14日,2008103425,05203
201001010101,7,3,3,リアライズブレイク,牡2,54.0,横山典弘,1:51.7,1,5.2,2.0,444(-6),[西] 森秀行,1800,晴,芝,良,2010年8月14日,2008110044,00660
201001010101,8,6,6,ティアラグラマラス,牝2,54.0,丸田恭介,1:52.0,2,22.1,7.0,434(-6),[東] 池上昌弘,1800,晴,芝,良,2010年8月14日,2008102183,01117
201001010101,9,8,11,デルマガネーシャ,牡2,54.0,中谷雄太,1:52.0,クビ,28.4,8.0,446(0),[東] 和田正道,1800,晴,芝,良,2010年8月14日,2008106047,01038
201001010101,10,7,8,ディーエスラムール,牡2,54.0,勝浦正樹,1:52.2,1.1/2,6.0,3.0,506(+2),[東] 藤原辰雄,1800,晴,芝,良,2010年8月14日,2008104706,01025
201001010101,11,2,2,アグネススコール,牡2,54.0,長谷川浩,1:52.4,1.1/4,71.4,10.0,470(-4),[西] 西浦勝一,1800,晴,芝,良,2010年8月14日,2008102044,01084
201001010102,1,2,2,メイショウヴァルナ,牡3,53.0,川須栄彦,0:59.7,,4.7,3.0,442(-14),[西] 本田優,1000,晴,ダート,良,2010年8月14日,2007106706,01128
201001010102,2,4,4,ケイエスジャパン,牡3,56.0,藤岡佑介,1:00.0,2,5.3,4.0,490(-4),[西] 高橋成忠,1000,晴,ダート,良,2010年8月14日,2007102436,01093
